corp=1012663 | name=고속철도차량주변압기:접지선 주변압기용 W45*L394*Ø13㎜Cu/a1 | cpn=BLL6008863011
corp=1012664 | name=고속철도차량주변압기:커넥션바 수단41236-01003 주변압기용 W100*L225*T5㎜ | cpn=BLL6609043000
corp=1012665 | name=고속철도차량주변압기:스파크캡 HV부싱용 25kV*50~60Hz | cpn=K005225122100C
corp=1012666 | name=고속철도차량주변압기:씰 주변압기용 ID45*OD65*T6㎜ DF801 K005226563100 | cpn=K005226563100
corp=1012667 | name=고속철도차량주변압기:단자 주변압기용 CuZnPbK005230498300 | cpn=K005230498300
corp=1012668 | name=고속철도차량주변압기:HV부싱 주변압기용 25kV 50~60HzK005225122100 | cpn=K005225122100
corp=1012669 | name=고속철도차량주변압기냉각장치:오일순환지시기 주변압기냉각장치용 UBX-032EKD-485363 | cpn=K005230647100
corp=1012670 | name=고속철도차량모터블록:TCP접촉기 모터블럭용 TCP3437-06-A-24-B-SOO-T | cpn=TRK5463017000
corp=1012671 | name=고속철도차량모터블록:플렌지단자 DIA25800A | cpn=TRK6652111000
corp=1012672 | name=고속철도차량모터블록:계전기 모터블럭용 C.009.72.15.S | cpn=DTR0000017069
corp=1012673 | name=고속철도차량모터블록:케이스 모터블럭용 RF1+RF2K611-11143-E1332-RT+T- | cpn=TRK9695813000
corp=1012674 | name=고속철도차량모터블록:TCP접촉기 모터블럭용 TCP3437-06-A-24-A-SOO-T | cpn=TRK5463018000
corp=1012675 | name=고속철도차량모터블록:접촉기취부용절연부싱 모터블럭접촉기용 TRK7627244000 | cpn=TRK7627244000
corp=1012676 | name=고속철도차량모터블록:컨넥션바 모터블럭용 W40*L320*T8㎜ | cpn=TRK7628246000
corp=1012677 | name=고속철도차량모터블록:스터드볼트 TCP접촉기용 M12*L30/M8*L52㎜ | cpn=TRK6659640000
corp=1012678 | name=고속철도차량모터블록:클립타이모터 블럭저항고정용 W25*L25㎜스틸 | cpn=DTR0032499016
corp=1012679 | name=고속철도차량모터블록:접지스프링 모터블럭용 W20*L92㎜TRK6648817000 | cpn=TRK6648817000
corp=1012680 | name=고속철도차량모터블록:전류감지센서 모터블럭용 LT 1005-T/SP7 | cpn=DTR002665270C
corp=1012681 | name=고속철도차량모터블록:저항 모터블럭용 RB 13.70B 6U8F6.8ohm 1% | cpn=S4507604P7165
corp=1012682 | name=고속철도차량모터블록:사이리스터방전저항 모터블럭용 SRC121931ohm | cpn=TRK5446343000
